27 7 19 23
54 7 19 23
81 7 18 23
106 7 22 23
134 7 19 23
159 7 17 23
180 7 19 23

207 7 19 23
234 7 16 23
252 7 20 25
277 7 20 23
303 7 15 23
326 7 23 23
357 7 19 23

383 7 21 23
412 7 19 23
438 7 22 25

12 49 20 23
39 49 15 23
62 49 19 23

86 49 20 23
114 49 19 23
139 49 23 23

168 49 18 23
193 49 17 23
215 49 18 23

458 49 17 23
240 49 14 23
264 49 15 23
289 49 14 23
312 49 17 23
338 49 14 23
362 49 14 23
387 49 14 23
410 49 15 23
435 49 14 23

0 0 1 1

// ABCDEFGHJIJKLMNOPQRSTUVWXYZ
